iter	Passed	Remaining
0	61	61724
1	62	30979
2	62	20737
3	62	15607
4	62	12529
5	63	10486
6	63	9017
7	63	7914
8	64	7053
9	64	6368
10	64	5807
11	64	5336
12	65	4940
13	65	4602
14	65	4307
15	65	4056
16	66	3838
17	66	3640
18	67	3459
19	67	3296
20	67	3149
21	67	3014
22	68	2890
23	68	2776
24	68	2672
25	68	2575
26	69	2487
27	69	2404
28	69	2326
29	69	2254
30	69	2186
31	70	2124
32	70	2064
33	70	2010
34	70	1956
35	71	1907
36	71	1861
37	71	1817
38	72	1775
39	72	1735
40	72	1697
41	72	1659
42	73	1625
43	73	1591
44	73	1560
45	73	1529
46	74	1500
47	74	1472
48	74	1446
49	74	1421
50	75	1397
51	75	1373
52	75	1350
53	75	1329
54	76	1308
55	76	1287
56	76	1267
57	76	1248
58	77	1229
59	77	1211
60	77	1194
61	77	1177
62	78	1161
63	78	1146
64	78	1132
65	79	1117
66	79	1103
67	79	1089
68	79	1076
69	79	1062
70	80	1049
71	80	1037
72	80	1025
73	81	1013
74	81	1002
75	81	991
76	81	980
77	82	969
78	82	959
79	82	950
80	82	940
81	83	930
82	83	919
83	83	910
84	83	901
85	84	892
86	84	883
87	84	875
88	84	867
89	84	859
90	85	851
91	85	844
92	85	837
93	86	830
94	86	823
95	86	815
96	86	808
97	87	801
98	87	795
99	87	788
100	87	782
101	88	776
102	88	770
103	88	765
104	89	759
105	89	753
106	89	747
107	89	741
108	90	735
109	90	730
110	90	725
111	90	719
112	91	714
113	91	709
114	91	704
115	91	699
116	91	694
117	92	689
118	92	684
119	92	679
120	93	676
121	93	671
122	93	667
123	93	663
124	94	659
125	94	655
126	94	650
127	94	646
128	95	642
129	95	637
130	95	633
131	95	629
132	96	626
133	96	622
134	96	618
135	96	614
136	97	611
137	97	607
138	97	604
139	97	600
140	98	597
141	98	593
142	98	589
143	98	586
144	98	583
145	99	580
146	99	577
147	99	574
148	100	571
149	100	568
150	100	565
151	100	562
152	100	559
153	101	556
154	101	553
155	101	550
156	101	547
157	102	544
158	102	542
159	102	539
160	102	536
161	103	533
162	103	531
163	103	528
164	103	526
165	104	523
166	104	520
167	104	518
168	104	515
169	105	513
170	105	511
171	105	508
172	105	506
173	106	504
174	106	501
175	106	499
176	106	496
177	107	494
178	107	492
179	107	490
180	107	488
181	108	486
182	108	483
183	108	481
184	108	479
185	109	477
186	109	475
187	109	473
188	110	472
189	110	470
190	110	468
191	111	467
192	111	465
193	111	463
194	111	461
195	112	459
196	112	457
197	112	456
198	112	454
199	113	452
200	113	450
201	113	449
202	114	447
203	114	446
204	114	444
205	115	443
206	115	441
207	115	439
208	115	438
209	115	436
210	116	434
211	116	433
212	116	431
213	117	429
214	117	428
215	117	427
216	118	425
217	118	424
218	118	423
219	118	421
220	119	420
221	119	419
222	119	417
223	120	415
224	120	414
225	120	412
226	120	411
227	121	409
228	121	408
229	121	406
230	121	405
231	122	403
232	122	402
233	122	401
234	123	400
235	123	399
236	123	398
237	123	396
238	124	395
239	124	394
240	124	393
241	125	392
242	125	390
243	125	389
244	125	388
245	126	386
246	126	385
247	126	384
248	126	382
249	127	381
250	127	380
251	127	379
252	128	378
253	128	377
254	128	376
255	129	375
256	129	373
257	129	372
258	129	371
259	130	370
260	130	369
261	130	368
262	130	367
263	131	365
264	131	365
265	131	364
266	132	362
267	132	361
268	132	360
269	133	359
270	133	358
271	133	357
272	133	356
273	134	355
274	134	354
275	134	353
276	134	352
277	135	350
278	135	349
279	135	348
280	135	347
281	136	346
282	136	345
283	136	344
284	137	343
285	137	342
286	137	341
287	137	340
288	138	339
289	138	338
290	138	337
291	138	336
292	139	335
293	139	334
294	139	333
295	139	332
296	140	331
297	140	330
298	140	329
299	140	328
300	141	327
301	141	326
302	141	325
303	141	324
304	142	323
305	142	322
306	142	321
307	142	320
308	142	319
309	143	318
310	143	317
311	143	316
312	144	316
313	144	315
314	144	314
315	144	313
316	145	312
317	145	311
318	145	310
319	145	309
320	146	308
321	146	308
322	146	307
323	146	306
324	147	305
325	147	304
326	147	303
327	147	302
328	148	302
329	148	301
330	148	300
331	148	299
332	149	298
333	149	298
334	149	297
335	149	296
336	150	295
337	150	294
338	150	293
339	150	292
340	151	292
341	151	291
342	151	290
343	151	289
344	152	288
345	152	288
346	152	287
347	153	286
348	153	285
349	153	285
350	153	284
351	153	283
352	154	282
353	154	281
354	154	280
355	154	280
356	155	279
357	155	278
358	155	277
359	155	276
360	156	276
361	156	275
362	156	274
363	156	273
364	156	273
365	157	272
366	157	271
367	157	270
368	157	270
369	158	269
370	158	268
371	158	267
372	158	267
373	159	266
374	159	265
375	159	264
376	159	264
377	160	263
378	160	262
379	160	261
380	160	261
381	161	260
382	161	259
383	161	258
384	161	258
385	161	257
386	162	256
387	162	256
388	162	255
389	162	254
390	162	253
391	163	253
392	163	252
393	163	251
394	163	250
395	164	250
396	164	249
397	164	248
398	164	248
399	164	247
400	165	246
401	165	246
402	165	245
403	165	244
404	166	244
405	166	243
406	166	242
407	166	241
408	167	241
409	167	240
410	167	239
411	167	239
412	167	238
413	168	237
414	168	237
415	168	236
416	168	236
417	169	235
418	169	234
419	169	234
420	169	233
421	170	232
422	170	232
423	170	231
424	170	231
425	171	230
426	171	229
427	171	229
428	171	228
429	172	228
430	172	227
431	172	226
432	172	226
433	173	225
434	173	225
435	173	224
436	173	223
437	174	223
438	174	222
439	174	222
440	174	221
441	175	221
442	175	220
443	175	219
444	175	219
445	176	218
446	176	218
447	176	217
448	176	216
449	177	216
450	177	215
451	177	215
452	177	214
453	178	214
454	178	213
455	178	213
456	178	212
457	179	211
458	179	211
459	179	210
460	179	210
461	180	209
462	180	209
463	180	208
464	180	208
465	181	207
466	181	207
467	181	206
468	181	205
469	182	205
470	182	204
471	182	204
472	182	203
473	183	203
474	183	202
475	183	201
476	183	201
477	184	200
478	184	200
479	184	199
480	184	199
481	185	198
482	185	198
483	185	197
484	185	197
485	185	196
486	186	196
487	186	195
488	186	195
489	186	194
490	187	193
491	187	193
492	187	192
493	187	192
494	187	191
495	188	191
496	188	190
497	188	190
498	189	189
499	189	189
500	189	188
501	189	188
502	189	187
503	190	187
504	190	186
505	190	186
506	190	185
507	191	185
508	191	184
509	191	183
510	191	183
511	191	182
512	192	182
513	192	181
514	192	181
515	192	180
516	193	180
517	193	179
518	193	179
519	193	178
520	193	178
521	194	177
522	194	177
523	194	176
524	194	176
525	195	175
526	195	175
527	195	174
528	195	174
529	195	173
530	196	173
531	196	172
532	196	172
533	197	171
534	197	171
535	197	170
536	197	170
537	197	169
538	198	169
539	198	168
540	198	168
541	198	167
542	199	167
543	199	167
544	199	166
545	199	166
546	200	165
547	200	165
548	200	164
549	200	164
550	201	163
551	201	163
552	201	162
553	201	162
554	202	162
555	202	161
556	202	161
557	202	160
558	202	160
559	203	159
560	203	159
561	203	158
562	203	158
563	204	157
564	204	157
565	204	156
566	204	156
567	205	156
568	205	155
569	205	155
570	205	154
571	206	154
572	206	153
573	206	153
574	206	152
575	207	152
576	207	152
577	207	151
578	207	151
579	208	150
580	208	150
581	208	149
582	208	149
583	209	148
584	209	148
585	209	148
586	209	147
587	210	147
588	210	146
589	210	146
590	210	145
591	211	145
592	211	145
593	211	144
594	211	144
595	211	143
596	212	143
597	212	142
598	212	142
599	212	141
600	213	141
601	213	141
602	213	140
603	213	140
604	214	139
605	214	139
606	214	138
607	214	138
608	215	138
609	215	137
610	215	137
611	215	136
612	216	136
613	216	136
614	216	135
615	216	135
616	217	134
617	217	134
618	217	134
619	218	133
620	218	133
621	218	132
622	218	132
623	219	132
624	219	131
625	219	131
626	219	130
627	220	130
628	220	130
629	220	129
630	221	129
631	222	129
632	222	128
633	222	128
634	222	128
635	223	127
636	223	127
637	223	126
638	223	126
639	224	126
640	224	125
641	224	125
642	224	124
643	225	124
644	225	124
645	225	123
646	225	123
647	226	122
648	226	122
649	226	121
650	226	121
651	226	121
652	227	120
653	227	120
654	227	119
655	227	119
656	228	119
657	228	118
658	228	118
659	228	117
660	228	117
661	229	116
662	229	116
663	229	116
664	229	115
665	229	115
666	230	114
667	230	114
668	230	114
669	231	113
670	231	113
671	231	112
672	231	112
673	231	112
674	232	111
675	232	111
676	232	110
677	232	110
678	233	110
679	233	109
680	233	109
681	233	108
682	233	108
683	234	108
684	234	107
685	234	107
686	234	106
687	234	106
688	235	106
689	235	105
690	235	105
691	235	104
692	236	104
693	236	104
694	236	103
695	236	103
696	236	102
697	237	102
698	237	102
699	237	101
700	237	101
701	238	101
702	238	100
703	238	100
704	238	99
705	238	99
706	239	99
707	239	98
708	239	98
709	239	97
710	240	97
711	240	97
712	240	96
713	240	96
714	240	96
715	241	95
716	241	95
717	241	94
718	241	94
719	241	94
720	242	93
721	242	93
722	242	92
723	242	92
724	243	92
725	243	91
726	243	91
727	243	91
728	243	90
729	244	90
730	244	89
731	244	89
732	244	89
733	244	88
734	245	88
735	245	88
736	245	87
737	245	87
738	246	86
739	246	86
740	246	86
741	246	85
742	246	85
743	247	85
744	247	84
745	247	84
746	247	83
747	247	83
748	248	83
749	248	82
750	248	82
751	248	82
752	248	81
753	249	81
754	249	80
755	249	80
756	249	80
757	250	79
758	250	79
759	250	79
760	250	78
761	250	78
762	250	77
763	251	77
764	251	77
765	251	76
766	251	76
767	252	76
768	252	75
769	252	75
770	252	75
771	252	74
772	253	74
773	253	73
774	253	73
775	253	73
776	253	72
777	254	72
778	254	72
779	254	71
780	254	71
781	254	71
782	255	70
783	255	70
784	255	69
785	255	69
786	256	69
787	256	68
788	256	68
789	256	68
790	256	67
791	257	67
792	257	67
793	257	66
794	257	66
795	258	66
796	258	65
797	258	65
798	258	65
799	258	64
800	259	64
801	259	64
802	259	63
803	259	63
804	259	62
805	260	62
806	260	62
807	260	61
808	260	61
809	260	61
810	261	60
811	261	60
812	261	60
813	261	59
814	261	59
815	262	59
816	262	58
817	262	58
818	262	58
819	263	57
820	263	57
821	263	57
822	263	56
823	263	56
824	264	56
825	264	55
826	264	55
827	264	54
828	264	54
829	265	54
830	265	53
831	265	53
832	265	53
833	266	52
834	266	52
835	266	52
836	266	51
837	266	51
838	267	51
839	267	50
840	267	50
841	267	50
842	267	49
843	268	49
844	268	49
845	268	48
846	268	48
847	269	48
848	269	47
849	269	47
850	269	47
851	269	46
852	270	46
853	270	46
854	270	45
855	270	45
856	271	45
857	271	44
858	271	44
859	271	44
860	271	43
861	272	43
862	272	43
863	272	42
864	272	42
865	273	42
866	273	41
867	273	41
868	273	41
869	273	40
870	274	40
871	274	40
872	274	39
873	274	39
874	274	39
875	275	38
876	275	38
877	275	38
878	275	37
879	276	37
880	276	37
881	276	37
882	276	36
883	277	36
884	277	36
885	277	35
886	277	35
887	277	35
888	278	34
889	278	34
890	278	34
891	278	33
892	279	33
893	279	33
894	279	32
895	279	32
896	279	32
897	280	31
898	280	31
899	280	31
900	280	30
901	281	30
902	281	30
903	281	29
904	281	29
905	281	29
906	282	28
907	282	28
908	282	28
909	282	27
910	282	27
911	283	27
912	283	26
913	283	26
914	283	26
915	283	26
916	284	25
917	284	25
918	284	25
919	284	24
920	284	24
921	285	24
922	285	23
923	285	23
924	285	23
925	286	22
926	286	22
927	286	22
928	286	21
929	287	21
930	287	21
931	287	20
932	287	20
933	287	20
934	288	20
935	288	19
936	288	19
937	288	19
938	289	18
939	289	18
940	289	18
941	289	17
942	289	17
943	290	17
944	290	16
945	290	16
946	290	16
947	290	15
948	291	15
949	291	15
950	291	15
951	291	14
952	292	14
953	292	14
954	292	13
955	292	13
956	292	13
957	293	12
958	293	12
959	293	12
960	293	11
961	294	11
962	294	11
963	294	10
964	294	10
965	294	10
966	295	10
967	295	9
968	295	9
969	295	9
970	296	8
971	296	8
972	296	8
973	296	7
974	296	7
975	297	7
976	297	6
977	297	6
978	297	6
979	297	6
980	298	5
981	298	5
982	298	5
983	298	4
984	298	4
985	299	4
986	299	3
987	299	3
988	299	3
989	300	3
990	300	2
991	300	2
992	300	2
993	300	1
994	301	1
995	301	1
996	301	0
997	301	0
998	301	0
999	302	0
