iter	Passed	Remaining
0	58	58386
1	58	29408
2	59	19702
3	59	14870
4	59	11939
5	60	9985
6	60	8589
7	60	7541
8	61	6726
9	61	6074
10	61	5551
11	62	5118
12	62	4748
13	62	4433
14	63	4158
15	63	3914
16	63	3697
17	64	3506
18	64	3337
19	65	3186
20	65	3049
21	65	2920
22	66	2804
23	66	2694
24	66	2593
25	66	2500
26	67	2415
27	67	2335
28	67	2261
29	67	2192
30	68	2126
31	68	2067
32	68	2010
33	68	1956
34	69	1906
35	69	1859
36	69	1815
37	70	1773
38	70	1733
39	70	1694
40	70	1659
41	71	1624
42	71	1591
43	71	1559
44	72	1528
45	72	1499
46	72	1471
47	72	1444
48	73	1418
49	73	1393
50	73	1369
51	73	1347
52	74	1324
53	74	1302
54	74	1282
55	74	1262
56	75	1243
57	75	1227
58	75	1211
59	76	1197
60	76	1182
61	77	1170
62	77	1154
63	77	1139
64	78	1124
65	78	1111
66	78	1097
67	79	1083
68	79	1071
69	79	1059
70	80	1047
71	80	1034
72	80	1022
73	80	1013
74	81	1001
75	81	991
76	82	983
77	82	974
78	82	965
79	83	956
80	83	947
81	83	938
82	83	927
83	84	918
84	84	909
85	84	900
86	84	891
87	85	883
88	85	875
89	85	867
90	86	859
91	86	852
92	86	844
93	86	837
94	87	831
95	87	824
96	87	817
97	88	810
98	88	804
99	88	798
100	89	792
101	89	785
102	89	780
103	90	775
104	90	771
105	90	765
106	91	761
107	91	756
108	91	751
109	92	746
110	92	742
111	92	737
112	93	732
113	93	728
114	94	723
115	94	719
116	94	715
117	95	710
118	95	705
119	95	700
120	95	696
121	95	690
122	96	686
123	96	682
124	96	677
125	97	673
126	97	668
127	97	664
128	97	659
129	98	655
130	98	651
131	98	647
132	98	643
133	98	639
134	99	636
135	99	632
136	99	628
137	100	625
138	100	621
139	100	618
140	100	614
141	101	610
142	101	607
143	101	604
144	101	601
145	102	598
146	102	594
147	102	591
148	103	588
149	103	585
150	103	582
151	103	579
152	104	576
153	104	573
154	104	570
155	104	567
156	105	564
157	105	561
158	105	558
159	106	556
160	106	553
161	106	550
162	106	548
163	107	546
164	107	543
165	107	541
166	108	539
167	108	536
168	108	534
169	109	532
170	109	529
171	109	527
172	109	525
173	110	523
174	110	521
175	110	518
176	111	517
177	111	515
178	111	512
179	112	510
180	112	508
181	112	505
182	112	503
183	113	501
184	113	499
185	113	496
186	113	495
187	114	493
188	114	492
189	115	490
190	115	488
191	115	486
192	115	484
193	116	482
194	116	480
195	116	479
196	117	477
197	117	475
198	117	473
199	117	471
200	118	469
201	118	467
202	118	465
203	118	463
204	119	462
205	119	461
206	120	459
207	120	458
208	120	456
209	120	454
210	121	452
211	121	451
212	121	449
213	121	447
214	122	446
215	122	445
216	123	443
217	123	442
218	123	440
219	123	438
220	124	437
221	124	436
222	124	435
223	125	433
224	125	433
225	126	432
226	126	430
227	126	429
228	127	428
229	127	426
230	127	424
231	127	423
232	128	421
233	128	420
